GEOID,GEOCODE,STATE,SLDL18,AREALAND,AREAWATR,BASENAME,NAME,POP100
620L600US55001,55001,55,1,2407171265,6924563375,1,Assembly District 1,59834
620L600US55002,55002,55,2,1064317436,28319623,2,Assembly District 2,62564
620L600US55003,55003,55,3,431712581,157422994,3,Assembly District 3,61906
620L600US55004,55004,55,4,77961716,2821457,4,Assembly District 4,58716
620L600US55005,55005,55,5,937362872,3885943,5,Assembly District 5,67428
620L600US55006,55006,55,6,2608829732,44284303,6,Assembly District 6,57409
620L600US55007,55007,55,7,27635994,0,7,Assembly District 7,59355
620L600US55008,55008,55,8,11034420,103122,8,Assembly District 8,53999
620L600US55009,55009,55,9,20670552,69151,9,Assembly District 9,57339
620L600US55010,55010,55,10,19816758,1108706,10,Assembly District 10,52628
620L600US55011,55011,55,11,36227470,481346,11,Assembly District 11,54275
620L600US55012,55012,55,12,44535113,168771,12,Assembly District 12,56305
620L600US55013,55013,55,13,66175341,412922,13,Assembly District 13,61779
620L600US55014,55014,55,14,71759537,801053,14,Assembly District 14,60136
620L600US55015,55015,55,15,58313009,545202,15,Assembly District 15,57145
620L600US55016,55016,55,16,17285465,75400,16,Assembly District 16,53739
620L600US55017,55017,55,17,18769804,0,17,Assembly District 17,55343
620L600US55018,55018,55,18,14601645,43754,18,Assembly District 18,52987
620L600US55019,55019,55,19,17085772,8951102,19,Assembly District 19,62056
620L600US55020,55020,55,20,44590035,4062942,20,Assembly District 20,56812
620L600US55021,55021,55,21,88623137,1394359023,21,Assembly District 21,59100
620L600US55022,55022,55,22,292166035,4172758,22,Assembly District 22,60750
620L600US55023,55023,55,23,132163774,1047127006,23,Assembly District 23,60761
620L600US55024,55024,55,24,206277432,1375570,24,Assembly District 24,60737
620L600US55025,55025,55,25,994373861,2315518220,25,Assembly District 25,57986
620L600US55026,55026,55,26,399867842,1946524672,26,Assembly District 26,58710
620L600US55027,55027,55,27,666731473,24653553,27,Assembly District 27,59294
620L600US55028,55028,55,28,3177513427,155065948,28,Assembly District 28,59274
620L600US55029,55029,55,29,1575467116,14733235,29,Assembly District 29,61746
620L600US55030,55030,55,30,615052060,19480482,30,Assembly District 30,62735
620L600US55031,55031,55,31,1018859101,10474811,31,Assembly District 31,59952
620L600US55032,55032,55,32,710821295,38026225,32,Assembly District 32,59397
620L600US55033,55033,55,33,853335855,21480734,33,Assembly District 33,58490
620L600US55034,55034,55,34,6804882576,657230405,34,Assembly District 34,60803
620L600US55035,55035,55,35,5410260487,161570191,35,Assembly District 35,56431
620L600US55036,55036,55,36,8109657382,208592616,36,Assembly District 36,57713
620L600US55037,55037,55,37,880734963,10223279,37,Assembly District 37,61182
620L600US55038,55038,55,38,1025248843,30864581,38,Assembly District 38,61646
620L600US55039,55039,55,39,1178365662,37729287,39,Assembly District 39,58192
620L600US55040,55040,55,40,2369841659,62968438,40,Assembly District 40,57138
620L600US55041,55041,55,41,2641082704,130016605,41,Assembly District 41,57743
620L600US55042,55042,55,42,2844707107,88822412,42,Assembly District 42,58322
620L600US55043,55043,55,43,1214858077,62791575,43,Assembly District 43,59492
620L600US55044,55044,55,44,74814416,1555076,44,Assembly District 44,58574
620L600US55045,55045,55,45,1086317705,5379278,45,Assembly District 45,57664
620L600US55046,55046,55,46,303805323,7378281,46,Assembly District 46,65092
620L600US55047,55047,55,47,193250123,20382196,47,Assembly District 47,63646
620L600US55048,55048,55,48,72601507,1431737,48,Assembly District 48,63754
620L600US55049,55049,55,49,3711768024,98559124,49,Assembly District 49,57941
620L600US55050,55050,55,50,3457642761,107488376,50,Assembly District 50,58713
620L600US55051,55051,55,51,4070866242,24600590,51,Assembly District 51,56878
620L600US55052,55052,55,52,464352790,58704314,52,Assembly District 52,59848
620L600US55053,55053,55,53,1054689202,201692858,53,Assembly District 53,58579
620L600US55054,55054,55,54,49830722,77728460,54,Assembly District 54,57411
620L600US55055,55055,55,55,211406700,30286836,55,Assembly District 55,61992
620L600US55056,55056,55,56,577003773,107810040,56,Assembly District 56,64544
620L600US55057,55057,55,57,39156135,6475594,57,Assembly District 57,57937
620L600US55058,55058,55,58,228029974,6540184,58,Assembly District 58,59054
620L600US55059,55059,55,59,1630660580,65129551,59,Assembly District 59,58158
620L600US55060,55060,55,60,685172819,2285900273,60,Assembly District 60,59358
620L600US55061,55061,55,61,545345127,1244147115,61,Assembly District 61,59972
620L600US55062,55062,55,62,315100219,1176264398,62,Assembly District 62,58422
620L600US55063,55063,55,63,413999896,6886093,63,Assembly District 63,59808
620L600US55064,55064,55,64,82314629,403376,64,Assembly District 64,57845
620L600US55065,55065,55,65,25658523,3466092,65,Assembly District 65,57248
620L600US55066,55066,55,66,26055729,314651,66,Assembly District 66,56026
620L600US55067,55067,55,67,3391965986,90698227,67,Assembly District 67,60513
620L600US55068,55068,55,68,3013584010,34493603,68,Assembly District 68,61896
620L600US55069,55069,55,69,2780176428,15890717,69,Assembly District 69,57134
620L600US55070,55070,55,70,3875674135,96135080,70,Assembly District 70,58276
620L600US55071,55071,55,71,1255252942,26486454,71,Assembly District 71,57866
620L600US55072,55072,55,72,2305464171,101626020,72,Assembly District 72,57669
620L600US55073,55073,55,73,5121685484,616806490,73,Assembly District 73,58507
620L600US55074,55074,55,74,12933297359,5290050678,74,Assembly District 74,59010
620L600US55075,55075,55,75,3731888311,156803562,75,Assembly District 75,58751
620L600US55076,55076,55,76,16894437,151026,76,Assembly District 76,71685
620L600US55077,55077,55,77,43762971,53593743,77,Assembly District 77,62992
620L600US55078,55078,55,78,50888936,152873,78,Assembly District 78,67142
620L600US55079,55079,55,79,485302607,5475462,79,Assembly District 79,69732
620L600US55080,55080,55,80,1942801026,2914019,80,Assembly District 80,65830
620L600US55081,55081,55,81,1785745609,72963707,81,Assembly District 81,59943
620L600US55082,55082,55,82,107001669,294054,82,Assembly District 82,59196
620L600US55083,55083,55,83,329438493,20547701,83,Assembly District 83,58770
620L600US55084,55084,55,84,80036663,641707,84,Assembly District 84,59529
620L600US55085,55085,55,85,893135870,13012317,85,Assembly District 85,58671
620L600US55086,55086,55,86,1510938193,63725246,86,Assembly District 86,60462
620L600US55087,55087,55,87,8309075280,269894247,87,Assembly District 87,57051
620L600US55088,55088,55,88,205945779,318692,88,Assembly District 88,62894
620L600US55089,55089,55,89,1234268303,738130895,89,Assembly District 89,60143
620L600US55090,55090,55,90,44716226,26515833,90,Assembly District 90,57912
620L600US55091,55091,55,91,62085479,5219300,91,Assembly District 91,59397
620L600US55092,55092,55,92,4925919273,116089264,92,Assembly District 92,59334
620L600US55093,55093,55,93,3121441286,111366003,93,Assembly District 93,60667
620L600US55094,55094,55,94,1101077022,44674018,94,Assembly District 94,62080
620L600US55095,55095,55,95,69089334,28485104,95,Assembly District 95,58704
620L600US55096,55096,55,96,4436520782,138658919,96,Assembly District 96,58372
620L600US55097,55097,55,97,132769573,2841485,97,Assembly District 97,56590
620L600US55098,55098,55,98,118987539,5860884,98,Assembly District 98,61407
620L600US55099,55099,55,99,348824204,32757035,99,Assembly District 99,57780