CD116,cd_pop,cd_dev,SLDU18,sen_pop,sen_dev,SLDL18,ass_pop,ass_dev
1,727452,-9262.75,1,184304,5706.484848,1,59834,301.4949495
2,789393,52678.25,2,183553,4955.484848,2,62564,3031.494949
3,733584,-3130.75,3,170693,-7904.515152,3,61906,2373.494949
4,695395,-41319.75,4,163208,-15389.51515,4,58716,-816.5050505
5,735571,-1143.75,5,179060,462.4848485,5,67428,7895.494949
6,727774,-8940.75,6,162069,-16528.51515,6,57409,-2123.505051
7,732582,-4132.75,7,177968,-629.5151515,7,59355,-177.5050505
8,751967,15252.25,8,182248,3650.484848,8,53999,-5533.505051
total,5893718,,9,175990,-2607.515152,9,57339,-2193.505051
,,,10,183755,5157.484848,10,52628,-6904.505051
,,,11,177839,-758.5151515,11,54275,-5257.505051
,,,12,174947,-3650.515152,12,56305,-3227.505051
,,,13,181020,2422.484848,13,61779,2246.494949
,,,14,173203,-5394.515152,14,60136,603.4949495
,,,15,175730,-2867.515152,15,57145,-2387.505051
,,,16,192492,13894.48485,16,53739,-5793.505051
,,,17,173532,-5065.515152,17,55343,-4189.505051
,,,18,175838,-2759.515152,18,52987,-6545.505051
,,,19,184473,5875.484848,19,62056,2523.494949
,,,20,176570,-2027.515152,20,56812,-2720.505051
,,,21,178202,-395.5151515,21,59100,-432.5050505
,,,22,171119,-7478.515152,22,60750,1217.494949
,,,23,179543,945.4848485,23,60761,1228.494949
,,,24,173811,-4786.515152,24,60737,1204.494949
,,,25,176268,-2329.515152,25,57986,-1546.505051
,,,26,201819,23221.48485,26,58710,-822.5050505
,,,27,195505,16907.48485,27,59294,-238.5050505
,,,28,177495,-1102.515152,28,59274,-258.5050505
,,,29,176184,-2413.515152,29,61746,2213.494949
,,,30,180949,2351.484848,30,62735,3202.494949
,,,31,179398,800.4848485,31,59952,419.4949495
,,,32,179156,558.4848485,32,59397,-135.5050505
,,,33,175777,-2820.515152,33,58490,-1042.505051
,,,total,5893718,,34,60803,1270.494949
,,,,,,35,56431,-3101.505051
,,,,,,36,57713,-1819.505051
,,,,,,37,61182,1649.494949
,,,,,,38,61646,2113.494949
,,,,,,39,58192,-1340.505051
,,,,,,40,57138,-2394.505051
,,,,,,41,57743,-1789.505051
,,,,,,42,58322,-1210.505051
,,,,,,43,59492,-40.50505051
,,,,,,44,58574,-958.5050505
,,,,,,45,57664,-1868.505051
,,,,,,46,65092,5559.494949
,,,,,,47,63646,4113.494949
,,,,,,48,63754,4221.494949
,,,,,,49,57941,-1591.505051
,,,,,,50,58713,-819.5050505
,,,,,,51,56878,-2654.505051
,,,,,,52,59848,315.4949495
,,,,,,53,58579,-953.5050505
,,,,,,54,57411,-2121.505051
,,,,,,55,61992,2459.494949
,,,,,,56,64544,5011.494949
,,,,,,57,57937,-1595.505051
,,,,,,58,59054,-478.5050505
,,,,,,59,58158,-1374.505051
,,,,,,60,59358,-174.5050505
,,,,,,61,59972,439.4949495
,,,,,,62,58422,-1110.505051
,,,,,,63,59808,275.4949495
,,,,,,64,57845,-1687.505051
,,,,,,65,57248,-2284.505051
,,,,,,66,56026,-3506.505051
,,,,,,67,60513,980.4949495
,,,,,,68,61896,2363.494949
,,,,,,69,57134,-2398.505051
,,,,,,70,58276,-1256.505051
,,,,,,71,57866,-1666.505051
,,,,,,72,57669,-1863.505051
,,,,,,73,58507,-1025.505051
,,,,,,74,59010,-522.5050505
,,,,,,75,58751,-781.5050505
,,,,,,76,71685,12152.49495
,,,,,,77,62992,3459.494949
,,,,,,78,67142,7609.494949
,,,,,,79,69732,10199.49495
,,,,,,80,65830,6297.494949
,,,,,,81,59943,410.4949495
,,,,,,82,59196,-336.5050505
,,,,,,83,58770,-762.5050505
,,,,,,84,59529,-3.505050505
,,,,,,85,58671,-861.5050505
,,,,,,86,60462,929.4949495
,,,,,,87,57051,-2481.505051
,,,,,,88,62894,3361.494949
,,,,,,89,60143,610.4949495
,,,,,,90,57912,-1620.505051
,,,,,,91,59397,-135.5050505
,,,,,,92,59334,-198.5050505
,,,,,,93,60667,1134.494949
,,,,,,94,62080,2547.494949
,,,,,,95,58704,-828.5050505
,,,,,,96,58372,-1160.505051
,,,,,,97,56590,-2942.505051
,,,,,,98,61407,1874.494949
,,,,,,99,57780,-1752.505051
,,,,,,total,5893718,